true_profile_scam,profile_prob,true_face_fake,face_prob,combined_prob,weighted_prob
0,0.010633628559732457,0,3.5997074e-09,0.005316816079719939,0.004253453583717525
0,0.0015782026081804922,0,9.213453e-08,0.0007891473713540275,0.0006313363239908663
0,0.5916528329979592,0,9.495581e-10,0.29582641697375867,0.23666113376891856
0,0.0013864551609475116,0,2.5045594e-07,0.0006933528084439715,0.0005547323379432636
0,0.028266678388730423,0,5.07198e-08,0.014133364554266057,0.011306701787373185
0,0.0176087528974557,0,2.8490688e-06,0.008805800983116965,0.007045210600317431
1,0.9859297807995197,1,0.9999983,0.9929640261324106,0.9943709228827047
0,0.010402655724957624,0,9.437969e-09,0.005201332581463126,0.004161067952764405
0,0.0047403560024986855,0,2.3642617e-08,0.0023701898225577194,0.0018961565865704144
0,0.054213774980817205,0,1.9024119e-06,0.027107838696356388,0.021686651439555175
0,0.3408276564159908,0,8.889585e-09,0.17041383265278792,0.13633106790014754
0,0.14115811459043806,1,0.9999946,0.5705763452838818,0.6564599914225705
0,0.06692811136301804,0,9.871438e-09,0.03346406061722797,0.026771250468070308
0,0.12444182941628147,0,2.071615e-08,0.06222092506621602,0.04977674419620365
0,0.00036019689378647454,0,9.269912e-08,0.0001801447964520949,0.00014413437698806116
0,0.001046318256344848,0,1.2853826e-08,0.0005231655550852037,0.0004185350148336302
0,0.34941300216484633,0,3.77808e-07,0.1747066899864196,0.1397654275507428
0,0.2925560228243514,0,4.4802565e-07,0.1462782354249982,0.11702267794513894
0,0.7049928731242147,0,8.214798e-09,0.3524964406695062,0.2819971541785645
0,0.04773554573741034,0,3.5170327e-08,0.023867790453868717,0.01909423939716146
0,0.001611653194768615,0,2.7569575e-07,0.0008059644452614206,0.0006448266953685083
0,0.07887574961129339,0,1.30709805e-05,0.03944441029587569,0.031558142432792154
0,0.00964580182972679,0,5.3021154e-07,0.004823166020631844,0.0038586388588128548
1,0.8267440073109187,0,5.834007e-06,0.4133749206589443,0.3307011033286859
1,0.9888804254037672,0,2.7569575e-07,0.4944403505497607,0.39555233557896796
0,0.0013704631546242537,0,4.641054e-07,0.000685463630010961,0.0005484637251110399
0,0.0035665184383177184,0,3.3685988e-06,0.0017849435185361617,0.0014286285347162747
0,0.04160026674494938,0,2.5836995e-08,0.02080014629097207,0.01664012220017661
0,0.49960994285439025,0,1.11903105e-07,0.24980502737874785,0.19984404428362507
1,0.9090374029407033,0,5.316898e-09,0.4545187041288007,0.3636149643664204
0,0.8874572371314335,0,2.9403782e-09,0.44372862003590585,0.35498289661680044
0,0.0012864417245878742,0,7.39997e-08,0.0006432578621442318,0.000514621089657635
0,0.0173301782619054,0,5.9337935e-09,0.008665092097849427,0.006932074865038456
0,0.10648776990994854,0,1.278502e-08,0.05324389134748435,0.04259511563499169
0,0.04273419455119381,1,0.99985147,0.5212928298882068,0.6170045927183962
0,0.004911992477420082,0,3.966983e-08,0.0024560160736241967,0.001964820792865375
0,0.03924227889055839,0,6.3617582e-09,0.01962114262615831,0.015696915373278473
0,0.0030582878507518564,0,1.26732575e-05,0.0015354805541336364,0.001230919094900942
0,0.01770225857634519,0,4.8455643e-08,0.008851153515994121,0.007080932503925329
0,0.0010903466728419977,0,8.849019e-09,0.0005451777609306464,0.0004361439785483762
0,0.025301622307731964,0,2.3564137e-06,0.01265198936071007,0.010122062771373903
0,0.22477436411390067,0,1.741074e-08,0.1123871907623201,0.08990975609200398
0,0.0015782026081804922,0,7.559858e-07,0.0007894792969947783,0.0006317346347690043
0,0.4141730703759556,0,1.2087132e-07,0.20708659562363782,0.16566930067317712
0,0.0012825356652760346,0,6.110932e-08,0.0006412983872972645,0.0005130509317036421
0,0.0545784663808702,0,4.768399e-07,0.027289471610378445,0.02183167265630283
0,0.5668513215164894,0,1.1448528e-09,0.2834256613306711,0.22674052929350746
0,0.7975234498303524,0,3.2715516e-08,0.398761741272934,0.3190093995614507
0,0.3613440737457664,0,8.003561e-09,0.18067204087466388,0.14453763430044347
0,0.004278758769231533,0,1.4336125e-06,0.0021400961908710076,0.001712363675210271
0,0.5551209678090235,0,0.0007223599,0.2779216638665675,0.2224818030838971
0,0.0010385659718312663,0,1.4561669e-10,0.0005192830587239758,0.0004154264761025205
0,0.09619398742011777,0,3.8353893e-11,0.04809699372923583,0.03847759499105945
0,0.06540094409985141,0,2.1933006e-06,0.032701568700219834,0.026161693620338995
